context,word,cosine distance
sacred animal in ancient egypt, 2454, 0.40874196709659
sacred animal in ancient egypt domestic, 2576, 0.42762360500425517
sacred animal in ancient egypt with whiskers, 1158, 0.48290428411650527
sacred animal in ancient egypt with whiskers and fur, 1026, 0.5016969310409198
sacred animal in ancient egypt with whiskers and fur tail, 757, 0.5170598603823996
sacred animal in ancient egypt with whiskers and fur tail claws, 505, 0.5322877234406678
sacred animal in ancient egypt with whiskers and fur tail claws subject, 659, 0.5329862390247629
sacred animal in ancient egypt with whiskers and fur tail claws makes meow, 304, 0.5831384891189553
sacred animal in ancient egypt with whiskers and fur tail claws makes meow purr, 161, 0.6092210219530377
sacred animal in ancient egypt with whiskers and fur tail claws makes meow purr name, 203, 0.6128908578214977
sacred animal in ancient egypt with whiskers and fur tail claws makes meow purr hunts, 140, 0.6088335350958128
sacred animal in ancient egypt with whiskers and fur tail claws makes meow purr hunts mouse, 79, 0.6373162088888726
sacred animal in ancient egypt with whiskers and fur tail claws makes meow purr hunts mouse loves milk, 75, 0.6466204389982919
sacred animal in ancient egypt with whiskers and fur tail claws makes meow purr hunts mouse loves milk afraid of dogs, 126, 0.6550117420145066
sacred animal in ancient egypt with whiskers and fur tail claws makes meow purr hunts mouse, 79, 0.6373162088888726
sacred animal in ancient egypt with whiskers long fur tail claws makes meow purr hunts mouse loves milk, 80, 0.6445114884437688
sacred animal in ancient egypt with whiskers long fur tail claws makes meow purr hunts mouse loves milk play, 135, 0.6370278739456812
sacred animal in ancient egypt with whiskers long fur tail claws makes meow purr hunts mouse loves milk subject, 127, 0.639867657818794
first adopted animal, 535, 0.5618885636335154
first adopted animal barking, 26, 0.6512199602838633
first adopted animal barking wolf, 2, 0.6910175275152117
first adopted animal from wolf, 397, 0.5982415280606286
first adopted animal from wolf barking, 74, 0.6556118588492892
first adopted animal barking, 26, 0.6512199602838633
first adopted animal barking have tail, 193, 0.6377135579368642
first adopted animal barking tail, 9, 0.663392850675639
first adopted animal bark tail, 92, 0.6049260782595896
first adopted animal barking tail, 9, 0.663392850675639
first adopted animal barking tail hunt, 11, 0.6757046828300413
first adopted animal barking tail hunting, 3, 0.6834022339286734
