lookup, context, word, cosine distance
cat, sacred animal in ancient egypt whiskers meow fur claws hunting mouse long fur, 17, 0.6131870983435901
cat, sacred animal in ancient egypt whiskers meow fur claws hunting mouse long fur loves milk, 16, 0.6335659345180538
cat, sacred animal in ancient egypt whiskers meow fur claws hunting mouse loves milk, 6, 0.6523868250644743
cat, sacred animal in ancient egypt whiskers meow fur claws hunting mouse milk, 5, 0.6359359365624752
cat, sacred animal in ancient egypt whiskers meow fur claws milk, 9, 0.5956240734530844
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mice, 7, 0.623682089600424
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse, 4, 0.6451317553255063
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail, 3, 0.6441509369507874
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse long tail, 21, 0.6319738949075631
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail, 3, 0.6441509369507874
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail paws, 2, 0.6533412707250861
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail paws play, 6, 0.6499808085230502
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail paws play home, 25, 0.6469530492603317
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail paws play home domestic, 57, 0.6436800041713459
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail paws play home domestic pet, 12, 0.6726788186411985
cat, sacred animal in ancient egypt whiskers meow fur claws milk hunt mouse tail paws play home domestic human, 95, 0.6351853685724235
dog, the first domesticated animal barking hunting wolf pet, 2, 0.7545269677916364
dog, the first domesticated animal barking hunting wolf pet human, 2, 0.7423445212864938
dog, the first domesticated animal barking hunting wolf pet human jaws, 2, 0.7372444119548298
dog, the first domesticated animal barking hunting wolf pet human jaws teeth, 2, 0.7281804608093012
dog, the first domesticated animal barking hunting wolf pet human jaws teeth secure, 4, 0.7113251604447076
dog, the first domesticated animal barking hunting wolf pet human jaws teeth friend, 1, 0.7409414795075873
dog, the first domesticated animal barking hunting wolf pet human jaws teeth best friend, 2, 0.7331613291404588
